t_prot (min),t_left (min),t_right(min),f_left (N),f_right (N),slope (%),speed (km/h),gear
0.00026191,0,0,10.164,15.512,2,14,0
0.00052382,0.00016667,0.00016667,10.136,15.568,2,14,0
0.00078572,0.00033334,0.00033334,10.08,15.652,2,14,0
0.0010476,0.00050001,0.00050001,10.136,15.736,2,14,0
0.0013095,0.00066668,0.00066668,10.22,15.932,2,14,0
0.0015714,0.00083335,0.00083335,10.191,15.959,2,14,0
0.0018334,0.001,0.001,10.19,16.127,2,14,0
0.0020953,0.0011667,0.0011667,10.187,16.265,2,14,0
0.0023572,0.0013334,0.0013334,10.294,16.346,2,14,0
0.0026191,0.0015,0.0015,10.198,16.507,2,14,0
0.002881,0.0016667,0.0016667,10.23,16.719,2,14,0
0.0031429,0.0018334,0.0018334,10.179,16.81,2,14,0
0.0034048,0.002,0.002,10.071,17.006,2,14,0
0.0036667,0.0021667,0.0021667,9.9858,17.23,2,14,0
0.0039286,0.0023334,0.0023334,9.59,17.365,2,14,0
0.0041905,0.0025001,0.0025001,9.1477,17.464,2,14,0
0.0044524,0.0026667,0.0026667,8.7973,17.617,2,14,0
0.0047143,0.0028334,0.0028334,8.1878,17.706,2,14,0
0.0049762,0.0030001,0.0030001,7.6388,17.755,2,14,0
0.0052382,0.0031667,0.0031667,6.9697,17.823,2,14,0
0.0055001,0.0033334,0.0033334,6.9567,17.852,2,14,0
0.005762,0.0035001,0.0035001,6.5873,17.787,2,14,0
0.0060239,0.0036668,0.0036668,6.2638,17.971,2,14,0
0.0062858,0.0038334,0.0038334,5.8953,18.045,2,14,0
0.0065477,0.0040001,0.0040001,5.8391,18.008,2,14,0
0.0068096,0.0041668,0.0041668,5.5055,18.051,2,14,0
0.0070715,0.0043334,0.0043334,5.2799,18.057,2,14,0
0.0073334,0.0045001,0.0045001,4.8495,18.057,2,14,0
0.0075953,0.0046668,0.0046668,4.6939,17.961,2,14,0
0.0078572,0.0048335,0.0048335,4.5339,18.058,2,14,0
0.0081191,0.0050001,0.0050001,4.378,17.988,2,14,0
0.0083811,0.0051668,0.0051668,4.4397,17.967,2,14,0
0.008643,0.0053335,0.0053335,4.2805,17.898,2,14,0
0.0089049,0.0055001,0.0055001,4.1366,17.999,2,14,0
0.0091668,0.0056668,0.0056668,3.8713,17.849,2,14,0
0.0094287,0.0058335,0.0058335,3.8171,17.683,2,14,0
0.0096906,0.0060001,0.0060001,3.6105,17.758,2,14,0
0.0099525,0.0061668,0.0061668,3.4376,17.76,2,14,0
0.010214,0.0063335,0.0063335,3.4022,17.717,2,14,0
0.010476,0.0065002,0.0065002,3.4483,17.601,2,14,0
