t_prot (min),t_left (min),t_right(min),f_left (N),f_right (N),slope (%),speed (km/h),gear
0,0,0,0,0,0,0,0
0.00016667,0.00016667,0.00016667,0,0,0.1,0.1,0
0.00033333,0.00033333,0.00033334,0,0,0.1,0.1,0
0.0005,0.0005,0.00050002,0,0,0.1,0.1,0
0.00066666,0.00066667,0.00066669,0,0,0.1,0.1,0
0.00083333,0.00083334,0.00083336,0,0,0.1,0.1,0
0.001,0.001,0.001,0,0,0.1,0.1,0
0.0011667,0.0011667,0.0011667,0,0,0.1,0.1,0
0.0013333,0.0013333,0.0013334,0,0,0.1,0.1,0
0.0015,0.0015,0.0015,0,0,0.1,0.1,0
0.0016667,0.0016667,0.0016667,0,0,0.1,0.1,0
0.0018333,0.0018333,0.0018334,0,0,0.1,0.1,0
0.002,0.002,0.0020001,0,0,0.1,0.1,0
0.0021667,0.0021667,0.0021667,0,0,0.1,0.1,0
0.0023333,0.0023333,0.0023334,0,0,0.1,0.1,0
0.0025,0.0025,0.0025001,0,0,0.1,0.1,0
0.0026667,0.0026667,0.0026668,0,0,0.1,0.1,0
0.0028333,0.0028333,0.0028334,0,0,0.1,0.1,0
0.003,0.003,0.0030001,0,0,0.1,0.1,0
0.0031667,0.0031667,0.0031668,0,0,0.1,0.1,0
0.0033333,0.0033334,0.0033334,0,0,0.1,0.1,0
0.0035,0.0035,0.0035001,0,0,0.1,0.1,0
0.0036667,0.0036667,0.0036668,0,0,0.1,0.1,0
0.0038333,0.0038334,0.0038335,0,0,0.1,0.1,0
0.004,0.004,0.0040001,0,0,0.1,0.1,0
0.0041667,0.0041667,0.0041668,0,0,0.1,0.1,0
0.0043333,0.0043334,0.0043335,0,0,0.1,0.1,0
0.0045,0.0045,0.0045002,0,0,0.1,0.1,0
0.0046666,0.0046667,0.0046668,0,0,0.1,0.1,0
0.0048333,0.0048334,0.0048335,0,0,0.1,0.1,0
0.005,0.005,0.0050002,0,0,0.1,0.1,0
0.0051666,0.0051667,0.0051668,0,0,0.1,0.1,0
